Vital House Number,Vital Street Name,Block,Lot,Condemnation Legislation,Most Recent Inspection,Latitude,Longitude
691-693, SOUTH ELEVENTH ST,2618,34,no,,40.72931188,-74.20615424
679, SOUTH TWELFTH ST,2619,50,no,,40.72992718,-74.20686681
226, FAIRMOUNT AVE.,262,2,no,,40.7395773,-74.19457329
200, FAIRMOUNT AVE.,262,15,no,,40.74038781,-74.19414453
192, FAIRMOUNT AVE.,262,19,no,,40.74065998,-74.19399992
59, ROSE TERR,2624,29,no,03-10-2014,40.72698142,-74.20202838
117, ROSE TERR,2624,58,no,03-10-2014,40.72755826,-74.20483234
714, SOUTH TENTH STREET,2624,60,no,,40.72758155,-74.20506732
245-247, AVON AVE,2625,12,no,11-01-2013,40.72601592,-74.20137519
20, TREACY AVE,2625,1,no,,40.726099,-74.20230976
92, ROSE TERR,2626,48,no,03-10-2014,40.72680976,-74.20355181
98, ROSE TERR,2626,52,no,,40.72687664,-74.20386409
297, AVON AVE,2626,27,no,,40.72647546,-74.20352173
219-221, FAIRMOUNT AVE.,263,58,no,10-16-2013,40.73991748,-74.19508891
194, LITTLETON AVE.,263,14,no,09-04-2013,40.74044694,-74.19520614
192, LITTLETON AVE.,263,15,no,07-22-2013,40.74051055,-74.19517275
195, FAIRMOUNT AVE.,263,45,no,,40.74072393,-74.19466553
217, FAIRMOUNT AVE.,263,69,no,03-17-2014,40.73999695,-74.1950472
198, LITTLETON AVE.,263,12,no,10-16-2013,40.74031971,-74.19527293
190, LITTLETON AVE.,263,16,no,,40.74057416,-74.19513935
187, FAIRMOUNT AVE.,263,41,no,,40.74097848,-74.19453182
186-188, LITTLETON AVE.,263,17,no,,40.74063777,-74.19510595
217, FAIRMOUNT AVE.,263,69,no,,40.73999695,-74.1950472
219-221, FAIRMOUNT AVE.,263,58,no,01-13-2014,40.73991748,-74.19508891
723, SOUTH TENTH STREET,2630,22,no,,40.72733757,-74.20581348
711, SOUTH ELEVENTH ST.,2631,2,no,,40.72867527,-74.20639766
715-717, SOUTH ELEVENTH ST,2631,4,no,,40.72852629,-74.2064549
743, SOUTH TWELFTH ST,2632,18,no,10-31-2013,40.72774573,-74.20773082
762, SOUTH FOURTEENTH ST,2633,34,no,11-15-2013,40.7280534,-74.20896339
741-743, SOUTH FOURTEENTH,2634,11,no,10-30-2013,40.72879398,-74.20931079
737, SOUTH FOURTEENTH ST,2634,9,no,11-15-2013,40.72892591,-74.20926017
776, SOUTH SIXTEENTH ST,2635,34,no,,40.72846542,-74.21076083
779, SOUTH SIXTEENTH ST,2636,23,no,,40.72850374,-74.211348
750, SOUTH SEVENTEENTH ST,2636,2,no,,40.7296645,-74.21124994
752, SOUTH SEVENTEENTH ST,2636,52,no,,40.72955941,-74.21131935
756, SOUTH SEVENTEENTH ST,2636,50,no,,40.72942764,-74.21136982
768, SOUTH SEVENTEENTH ST,2636,44,no,,40.72903317,-74.21152092
786, SOUTH SEVENTEENTH ST,2636,36,no,,40.72845957,-74.2117406
777-779, SOUTH SEVENTEENTH,2637,23,no,,40.72888715,-74.21217668
767, SOUTH SEVENTEENTH ST,2637,18,no,,40.72923241,-74.2120433
774, SOUTH EIGHTEENTH ST,2637,49,no,,40.72920223,-74.21243089
787, SOUTH EIGHTEENTH ST,2638,22,no,,40.7288996,-74.21314959
794, SOUTH NINETEENTH ST.,2638,31,no,,40.72877907,-74.21357176
790, SOUTH NINETEENTH ST.,2638,33,no,,40.72891188,-74.21352539
772-774, SOUTH NINETEENTH,2638,46,no,,40.7294717,-74.21334386
815-817, SOUTH NINETEENTH,2642,6,no,09-30-2013,40.72800177,-74.21447725
812, SOUTH NINETEENTH ST.,2643,56,no,09-30-2013,40.7279761,-74.21387824
484, AVON AVE,2643,3,no,11-01-2013,40.72813028,-74.21377287
831-833, SOUTH EIGHTEENTH,2643,19,no,,40.72723096,-74.21378793
830, SOUTH NINETEENTH ST.,2643,47,no,,40.72738385,-74.21410497
828, SOUTH EIGHTEENTH ST,2644,47,no,,40.72718693,-74.2132051
830, SOUTH EIGHTEENTH ST,2644,46,no,,40.72712087,-74.21323061
834, SOUTH EIGHTEENTH ST,2644,44,no,,40.72698904,-74.21328121
832, SOUTH EIGHTEENTH ST,2644,45,no,,40.72705492,-74.21325593
450, AVON AVE,2645,4,no,10-11-2010,40.72773071,-74.21190153
840, SOUTH SIXTEENTH ST,2646,36,no,07-25-2013,40.72611444,-74.21166216
840, SOUTH SIXTEENTH ST,2646,36,no,,40.72611444,-74.21166216
802, SOUTH SIXTEENTH ST,2646,56,no,,40.72739613,-74.21117149
806, SOUTH SIXTEENTH ST,2646,54,no,,40.7272634,-74.21122211
795, SOUTH FOURTEENTH ST,2647,15,no,11-15-2013,40.72677553,-74.21008349
792, SOUTH FIFTEENTH ST,2647,49,no,11-12-2013,40.72674404,-74.210452
790, SOUTH FIFTEENTH ST,2647,50,no,,40.72680988,-74.21042767
782, SOUTH TWELFTH ST,2650,44,no,,40.72618771,-74.20772905
765-767, SOUTH TENTH ST.,2651,15,no,,40.7256699,-74.20644251
37, SHANLEY AVE.,2652,14,no,03-11-2014,40.72582377,-74.20530061
68-70, SHANLEY AVE.,2653,31,no,,40.72467826,-74.20509658
21-23, TREACY AVE.,2654,6,no,10-25-2013,40.72591331,-74.20304629
25-27, TREACY AVE.,2654,9,no,,40.725799,-74.20309948
27, SEYMOUR AVE.,2656,19,no,03-19-2014,40.72464481,-74.20137097
31, SEYMOUR AVE.,2656,21,no,03-19-2014,40.72449042,-74.20143556
25, SEYMOUR AVE.,2656,18,no,09-16-2013,40.72471023,-74.2013436
11, SEYMOUR AVE.,2656,11,no,09-13-2013,40.72516779,-74.20115199
17-19, SEYMOUR AVE.,2656,15,no,03-19-2014,40.7249326,-74.20125056
36, SEYMOUR AVE.,2657,40,no,08-14-2013,40.72428621,-74.20081527
14, SEYMOUR AVE.,2657,59,no,03-19-2014,40.72497678,-74.20053496
50, CHADWICK AVE.,2659,47,yes,10-24-2013,40.72463272,-74.19959509
583, BERGEN ST.,2659,16,no,09-10-2013,40.72441627,-74.19928937
379-381, SOUTH TENTH ST.,266,13,no,,40.73976456,-74.20118685
377, SOUTH TENTH STREET,266,12,no,,40.73982872,-74.20115411
375, SOUTH TENTH STREET,266,11,no,,40.73989463,-74.20114652
108, BADGER AVE.,2664,46,no,03-10-2014,40.72344544,-74.19479651
106, BADGER AVE.,2664,47,no,09-11-2013,40.72350951,-74.19477208
345, IRVINE TURNER BLVD.,2666,37,no,03-11-2014,40.72245913,-74.19283656
41, HILLSIDE AVE.,2666,53,no,10-25-2013,40.72236326,-74.19237664
310-316, CLINTON AVE.,2669,11,yes,10-24-2013,40.72201795,-74.19105416
33, MILFORD AVE.,2670,18,no,07-24-2013,40.72148263,-74.19006067
96, MILFORD AVE.,2672,30,no,09-03-2013,40.71923909,-74.19035677
94, MILFORD AVE.,2672,31,no,08-05-2013,40.7193227,-74.19031582
88-90, MILFORD AVE.,2672,34,no,08-02-2013,40.7194985,-74.19023133
92, MILFORD AVE.,2672,35,no,08-05-2013,40.7194063,-74.19027687
46, MILFORD AVE.,2672,58,no,05-01-2014,40.72099045,-74.18956105
41-45, MILFORD AVE.,2673,3,no,09-03-2013,40.72114285,-74.19028034
96, RIDGEWOOD AVE.,2678,23,no,09-11-2013,40.72039403,-74.19508387
110, CHADWICK AVE.,2686,41,yes,01-30-2014,40.7224495,-74.20051215
112, CHADWICK AVE.,2686,40,yes,01-30-2014,40.72238421,-74.20053939
118, CHADWICK AVE.,2686,37,yes,10-24-2013,40.72218822,-74.20062164
489, CLINTON AVE.,2686,26,yes,04-22-2014,40.72173016,-74.20027876
490, CLINTON AVE.,2687,1,yes,04-22-2014,40.72125154,-74.2004863
152, CHADWICK AVE.,2687,46,no,01-30-2014,40.72084679,-74.20118186
154, CHADWICK AVE.,2687,45,no,08-12-2013,40.72078376,-74.20121369
148, CHADWICK AVE.,2687,48,no,10-22-2013,40.72098161,-74.20112616
683-685, BERGEN ST.,2687,12,no,03-10-2014,40.72064951,-74.20086611
223, PESHINE AVE.,2689,18,no,11-06-2013,40.71985837,-74.19906571
257, JELLIFF AVE.,2690,11,no,08-08-2013,40.72035237,-74.19781284
269, JELLIFF AVE.,2690,17,no,08-08-2013,40.71995345,-74.19797779
216, PESHINE AVE.,2690,49,no,11-06-2013,40.72000202,-74.19835467
113, RIDGEWOOD AVE.,2692,9,no,01-31-2014,40.71976306,-74.19594054
123, RIDGEWOOD AVE.,2692,14,no,01-31-2014,40.71943545,-74.19607544
119, RIDGEWOOD AVE.,2692,12,no,01-31-2014,40.71956653,-74.19602153
127-129, RIDGEWOOD AVE.,2692,16,no,06-26-2013,40.71927161,-74.1961428
446-450, IRVINE TURNER BLV,2693,22,yes,08-30-2013,40.71866231,-74.19532372
452, IRVINE TURNER BLVD.,2693,25,no,08-30-2013,40.71845529,-74.19528911
150-154, MILFORD AVE,2697,36,no,09-03-2013,40.71726103,-74.1912711
102, MILFORD AVE.,2697,64,no,09-03-2013,40.71885635,-74.19052793
183, JOHNSON AVE.,2700,24,no,09-03-2013,40.71588236,-74.19375449
151, JOHNSON AVE.,2700,8,no,09-03-2013,40.71691948,-74.19332568
484, IRVINE TURNER BLVD.,2702,12,no,08-30-2013,40.71724348,-74.19578934
486, IRVINE TURNER BLVD.,2702,13,no,08-30-2013,40.71717803,-74.19581643
164, RIDGEWOOD AVE.,2702,54,no,07-17-2013,40.71780569,-74.19612392
474-476, IRVINE TURNER BLV,2702,7,no,02-26-2014,40.71751661,-74.19567637
197, RIDGEWOOD AVE.,2703,21,no,09-11-2013,40.7168301,-74.19715039
742-744, BERGEN ST.,2707,44,no,07-15-2013,40.71840947,-74.20113102
216-218, CHADWICK AVE.,2708,44,yes,08-12-2013,40.71856407,-74.20211211
222, CHADWICK AVE.,2708,41,no,08-12-2013,40.71839544,-74.20218236
208, CHADWICK AVE.,2708,48,no,08-12-2013,40.71887058,-74.20199952
210, CHADWICK AVE.,2708,47,no,08-12-2013,40.7188043,-74.20202571
795, BERGEN ST.,2711,12,no,09-10-2013,40.71660857,-74.20253879
272, CHADWICK AVE.,2711,27,no,01-30-2014,40.71658467,-74.20294298
267, SHERMAN AVE,2761,33,no,11-04-2013,40.71538176,-74.19008255
279, LITTLETON AVE.,278,13,no,,40.73751176,-74.19714756
281, LITTLETON AVE.,278,14,no,,40.73744589,-74.19717283
263, LITTLETON AVE.,278,5,no,,40.73803875,-74.19694544
19, EARL ST.,2785,32,no,,40.71943657,-74.18832064
275-277, SOUTH SIXTH ST.,279,1,yes,04-28-2014,40.73823613,-74.19780137
320, SOUTH SEVENTH STREET,279,34,no,,40.73765655,-74.19844518
144, SHERMAN AVE.,2794,18,no,11-04-2013,40.72026618,-74.1865365
64, MILLER ST.,2799,26,no,09-03-2013,40.72070656,-74.18518753
120, PENNSYLVANIA AVE.,2808,43,yes,09-03-2013,40.72135919,-74.18266894
410, SOUTH TENTH STREET,282,35,no,,40.73844003,-74.20107893
437, SOUTH TENTH STREET,283,1,no,,40.73764892,-74.20196145
435, SOUTH TENTH STREET,283,2,no,,40.73771447,-74.20193941
423, SOUTH TENTH STREET,283,7,no,,40.73811712,-74.20179391
13, HECKER ST.,2848,11,no,09-26-2013,40.74970247,-74.18383844
23, HUDSON ST.,2849,16,yes,01-30-2014,40.74904407,-74.18330267
25, HUDSON ST.,2849,17,yes,01-30-2014,40.74898825,-74.1833391
29-31, HUDSON ST.,2849,18,no,04-09-2014,40.74887774,-74.18344973
433, SOUTH NINTH ST.,289,19,no,10-29-2013,40.73635949,-74.20148971
95, SIXTEENTH AVENUE,293,33,no,,40.73505353,-74.19858733
381, LITTLETON AVE.,300,50,no,,40.73380366,-74.19856787
90, SEYMOUR AVE.,3000,31,no,03-19-2014,40.72228372,-74.2016747
74, SEYMOUR AVE.,3000,39,no,03-19-2014,40.72282138,-74.20143223
119, CHADWICK AVE.,3000,19,no,01-30-2014,40.72227516,-74.20125504
61, SEYMOUR AVE.,3001,6,no,11-01-2013,40.72336039,-74.20190961
65, SEYMOUR AVE.,3001,8,no,08-14-2013,40.72320881,-74.20197304
112, TREACY AVE.,3002,31,no,10-25-2013,40.72265508,-74.20373644
78, TREACY AVE.,3002,48,no,,40.72378143,-74.20325867
587-589, CLINTON AVE.,3003,29,no,10-24-2013,40.72272799,-74.20494794
109-111, TREACY AVE,3003,20,no,,40.72281624,-74.20435244
89-91, BALDWIN AVE.,3004,21,no,11-01-2013,40.72303356,-74.20536767
104-106, SHANLEY AVE.,3004,33,no,07-29-2013,40.72330719,-74.20567024
79-83, BALDWIN AVE.,3004,15,no,01-15-2014,40.72334587,-74.20523488
88-90, SHANLEY AVE,3004,42,no,03-11-2014,40.72384688,-74.20544305
91-93, SHANLEY AVE.,3005,11,no,09-11-2013,40.72383814,-74.20611925
95-97, SHANLEY AVE.,3005,13,no,09-11-2013,40.723707,-74.20617336
79-81, SHANLEY AVE.,3005,5,no,03-12-2014,40.72423105,-74.20595766
71-73, SHANLEY AVE.,3005,1,no,03-11-2014,40.72449632,-74.20584701
814-816, SOUTH TWELFTH ST,3007,108,no,,40.72500631,-74.20817903
867-869, SOUTH ELEVENTH ST,3007,83,no,,40.72346601,-74.20835502
838, SOUTH FOURTEENTH ST,3009,32,no,07-26-2013,40.72527709,-74.21001633
867, SOUTH FOURTEENTH ST,3010,30,no,07-26-2013,40.72442739,-74.21097738
840, SOUTH FIFTEENTH ST,3010,76,no,,40.72517337,-74.21105129
741-745, CLINTON AVE.,3010,49,no,01-06-2014,40.72333041,-74.21181087
882-884, SOUTH SIXTEENTH,3011,70,no,,40.72474493,-74.21218698
904-906, SOUTH SIXTEENTH,3011,58,no,,40.72402305,-74.2124642
867, SOUTH SIXTEENTH ST,3012,19,no,,40.72543575,-74.21252313
907-909, SOUTH SIXTEENTH S,3012,40,no,,40.72407015,-74.21304687
905, SOUTH SIXTEENTH ST,3012,38,no,,40.72418194,-74.21300401
886-888, SOUTH SEVENTEENTH,3012,74,no,,40.724886,-74.21310941
898-900, SOUTH SEVENTEENTH,3012,68,no,,40.72449487,-74.21325962
924, SOUTH EIGHTEENTH ST,3013,64,no,07-26-2013,40.72409552,-74.21438886
811, CLINTON AVE.,3013,57,no,,40.72348772,-74.21477254
865, SOUTH SEVENTEENTH ST,3013,15,no,,40.72582827,-74.21335063
867-869, SOUTH SEVENTEENTH,3013,16,no,,40.72572829,-74.21338823
921, SOUTH SEVENTEENTH ST,3013,43,no,,40.72400082,-74.21404968
923-925, SOUTH SEVENTEENTH,3013,44,no,,40.72391017,-74.21408436
930-932, SOUTH EIGHTEENTH,3013,60,no,,40.72384136,-74.214486
896, SOUTH NINETEENTH ST,3014,36,no,04-01-2014,40.72522924,-74.21493251
869, SOUTH EIGHTEENTH ST,3014,15,no,,40.72595547,-74.21427996
891, SOUTH EIGHTEENTH ST,3014,26,no,,40.72523453,-74.21455506
852, SOUTH NINETEENTH ST,3014,62,no,,40.72665828,-74.21438586
905, SOUTH TWENTIETH ST.,3015.01,1,no,10-30-2013,40.72525428,-74.2165041
937-939, SOUTH NINETEENTH,3018,14,no,,40.72402328,-74.21599604
522-524, CLINTON AVE.,3019,9,yes,10-24-2013,40.7215623,-74.20206743
520, CLINTON AVE.,3019,8,yes,10-24-2013,40.72153088,-74.20198316
134, SEYMOUR AVE.,3019,21,yes,02-11-2014,40.72060553,-74.20233039
151, CHADWICK AVE.,3019,71,yes,08-12-2013,40.72101339,-74.20178149
147-149, CHADWICK AVE.,3019,72,no,10-22-2013,40.72112044,-74.20174089
116, SEYMOUR AVE.,3019,12,no,08-14-2013,40.72119495,-74.20212702
118, SEYMOUR AVE.,3019,13,no,08-14-2013,40.72112857,-74.20214992
124-126, SEYMOUR AVE.,3019,16,no,08-14-2013,40.72090953,-74.2022255
110-112, SEYMOUR AVE.,3019,76,no,09-13-2013,40.72133683,-74.20209769
145, CHADWICK AVE.,3019,74,no,10-22-2013,40.72122828,-74.20170279
166, SEYMOUR AVE.,3020,37,yes,09-13-2013,40.71953642,-74.20270322
172, SEYMOUR AVE.,3020,40,yes,03-19-2014,40.71934277,-74.20278593
225, CHADWICK AVE.,3020,18,no,10-24-2013,40.71844031,-74.20285995
186, SEYMOUR AVE.,3020,47,no,03-17-2014,40.71888363,-74.20298919
194, SEYMOUR AVE.,3020,51,no,09-18-2013,40.71863083,-74.20314966
219-221, CHADWICK AVE.,3020,21,no,08-12-2013,40.71861489,-74.20277368
174, SEYMOUR AVE.,3020,41,no,09-17-2013,40.71927752,-74.202815
170, SEYMOUR AVE.,3020,39,no,03-19-2014,40.71940671,-74.20275745
184, WEST RUNYON STREET,3021,7,no,05-05-2014,40.71744263,-74.20329369
